น้ำผึ้ง,ต.บ้านอิฐ อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
นามน(สามัคคีวิทยาคาร),ต.ตาลสุม อ.ตาลสุม จ.อุบลราชธานี 34330,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
นาห้วยแคน,ต.ตาลสุม อ.ตาลสุม จ.อุบลราชธานี 34330,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
นาคาย,ต.นาคาย อ.ตาลสุม จ.อุบลราชธานี 34330,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
นาทม,ต.คำหว้า อ.ตาลสุม จ.อุบลราชธานี 34330,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
นาขาม,ต.สำโรง อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
นาหว้าใต้,ต.สำโรง อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
นานางวาน,ต.ม่วงใหญ่ อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
นาพะเนียงออ,ต.สองคอน อ.โพธิ์ไทร จ.อุบลราชธานี 34340,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
นางาม,ต.ขามป้อม อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นาแก,ต.หนองไฮ อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นานวล,ต.หนองไฮ อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
น้ำเกลี้ยง,ต.หนองไฮ อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นาดี(อำเภอสำโรง),ต.โคกสว่าง อ.สำโรง จ.อุบลราชธานี 34360,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นาห่อม,ต.นาห่อม อ.ทุ่งศรีอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
น้ำขุ่นคำนกเปล้า,ต.นาห่อม อ.ทุ่งศรีอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
นาจาน,ต.นาเยีย อ.นาเยีย จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นาประชุม,ต.นาเยีย อ.นาเยีย จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นาดี(กิ่งอำเภอนาเยีย),ต.นาดี อ.นาเยีย จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นาดู่,ต.นาดี อ.นาเยีย จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นาเรือง,ต.นาเรือง อ.นาเยีย จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
นากลาง,ต.นาตาล อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
นาตาลใต้,ต.นาตาล อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
นาม่วง,ต.นาตาล อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
นาชุม,ต.กองโพน อ.นาตาล จ.อุบลราชธานี 34170,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
