ครัววิทยา,แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
คล้อโคกกว้าง,ต.ปราสาท อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
คลองเพชรสวาย,ต.ปราสาท อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
คลองสุด(ประชาอุทิศ),ต.หัวเสือ อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
คะนาสามัคคี,ต.ห้วยสำราญ อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
คอกหนองไพร,ต.ไพรบึง อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
คูสี่แจ,ต.ปราสาทเยอ อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ครั่ง,ต.ดู่ อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
คูสระ,ต.ไผ่ อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ค้อโนนเพ็ก,ต.รังแร้ง อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ค้อกำแพง,ต.สระกำแพงใหญ่ อ.อุทุมพรพิสัย จ.ศรีสะเกษ 33120,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ค้อ,ต.เป๊าะ อ.บึงบูรพ์ จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
คูบ,ต.คูบ อ.น้ำเกลี้ยง จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
คำกลาง,ต.ท่าคล้อ อ.เบญจลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
คำสะอาด,ต.ท่าคล้อ อ.เบญจลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
คูเมือง,ต.พยุห์ อ.พยุห์ จ.ศรีสะเกษ 33230,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ค้อยางปอ(อสพป.35),ต.โนนเพ็ก อ.พยุห์ จ.ศรีสะเกษ 33230,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
คลีกลิ้ง,ต.คลีกลิ้ง อ.ศิลาลาด จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
คูเดื่อ,ต.แจระแม อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ค้อกุดลาด,ต.กุดลาด อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
คำเตย,ต.นาคำ อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำบง,ต.สงยาง อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำไหล,ต.คำไหล อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คำหมาไน,ต.นาเลิน อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
คันท่าเกวียน,ต.นาโพธิ์กลาง อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
