หนองบอน (นัยนานนท์อนุสรณ์),แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 2
หนองช้างลง,ต.กบินทร์ อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองจิก,ต.วังดาล อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองศรีวิชัย,ต.วังดาล อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 2
หนองบัว,ต.นนทรี อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองหัวช้าง,ต.นนทรี อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองอนามัย,ต.นนทรี อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองปรือ,ต.ย่านรี อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองคล้า,ต.วังตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองหอย,ต.วังตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 2
หนองตลาด,ต.ลาดตะเคียน อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองนาใน,ต.บ้านนา อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองสัง(ไลอุทิศ),ต.บ้านนา อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หาดมะกอก,ต.บ้านนา อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองโดน,ต.บ่อทอง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองไผ่ล้อม,ต.บ่อทอง อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองมันปลา,ต.นาแขม อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองประดู่,ต.เขาไม้แก้ว อ.กบินทร์บุรี จ.ปราจีนบุรี 25110,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองแหน,ต.สำพันตา อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองตะแบก,ต.สะพานหิน อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองสองห้อง,ต.สะพานหิน อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หินเทิน,ต.แก่งดินสอ อ.นาดี จ.ปราจีนบุรี 25220,เขตพื้นที่การศึกษาปราจีนบุรี เขต 2
หนองงูเหลือม,ต.บางพลวง อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หอย(เติมเอนจิเนียริ่งอุปถัมภ์),ต.บ้านหอย อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองกระทุ่ม,ต.ศรีมหาโพธิ อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองหอย,ต.ศรีมหาโพธิ อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หว้าเอน,ต.ศรีมหาโพธิ อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองปรือน้อย,ต.หัวหว้า อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
หนองกันเกรา,ต.ศรีกะอาง อ.บ้านนา จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
